codigo;nome;custo;preco_mercado;origem(S=Shopee exato,V=Shopee c/ ressalva,L=outras lojas,E=estimado);obs;margem_%;lucro_R$
P61666;MARINHOS BLACK LINE PELLETS P 120G;41,18;70,53;S;1 anúncio;71.3;29,35
P61439;MARINHOS BLACK LINE PELLETS P 45G;26,52;49,00;S;2 anúncios;84.8;22,48
P63468;MONSTER BSF SINKING 500G;91,85;141,00;E;"sem anúncio; proporção do BSF floating";53.5;49,15
P63464;MONSTER COLORS FLOATING G 600G;63,15;95,00;S;5 anúncios;50.4;31,85
P63463;MONSTER COLORS FLOATING P 600G;63,15;98,80;S;6 anúncios (94,05 a 103,55);56.5;35,65
P63458;MONSTER GARLIC FLOATING G 600G;56,26;88,35;V;pelo Garlic P;57.0;32,09
P63457;MONSTER GARLIC FLOATING P 600G;56,26;88,35;S;1 anúncio;57.0;32,09
P63461;MONSTER IMMUNITY FLOATING G 600G;63,15;95,00;S;1 anúncio;50.4;31,85
P63460;MONSTER IMMUNITY FLOATING P 600G;63,15;95,00;S;1 anúncio;50.4;31,85
P63498;SQUID BKL MONSTER FLOATING G 600G;68,89;103,55;V;pelo Squid P;50.3;34,66
P63497;SQUID BKL MONSTER FLOATING P 600G;68,89;103,55;S;1 anúncio;50.3;34,66
P63482;SQUID BLACK LINE 90 G;49,37;76,95;S;5 anúncios (76,95 a 86,45);55.9;27,58
P61092;BETTA SACHE 6G;3,54;9,00;E;sem anúncio exato;154.2;5,46
P60201;CARNIVOROS DE FUNDO 130G;23,70;43,00;S;muitos anúncios;81.4;19,30
P60202;CARNIVOROS DE FUNDO 500G;71,99;111,15;S;3 anúncios;54.4;39,16
P63019;CARNIVOROS DE FUNDO PELLET G 1,2KG;76,44;124,45;S;2 anúncios;62.8;48,01
P60204;CARNIVOROS DE SUPERFICE 310G;57,66;98,81;S;1 anúncio;71.4;41,15
P60203;CARNIVOROS DE SUPERFICE 85G;18,94;35,00;S;muitos anúncios;84.8;16,06
P62492;CARPA 6X1 200G;31,57;59,50;S;2 anúncios (57,00 e 62,00);88.5;27,93
P60640;CARPA 6X1 3 KG;180,61;297,32;V;preço inicial de anúncio 3/6kg;64.6;116,71
P62589;CARPA 6X1 400G;37,05;56,99;S;1 anúncio;53.8;19,94
P60702;CARPA COR 300G;37,89;69,00;S;1 anúncio;82.1;31,11
P60705;CARPA CRESCIMENTO 300G;34,44;62,70;E;só há 700g;82.1;28,26
P62551;CARPA DIA A DIA 2KG;114,40;194,00;E;sem anúncio;69.6;79,60
P62580;CARPA DIA A DIA 700G;36,40;62,00;S;1 anúncio;70.3;25,60
P60307;CICLIDEOS HERBIVOROS 280G;44,27;78,98;S;3 anúncios;78.4;34,71
P60301;CICLIDEOS HERBIVOROS 75G;17,05;32,00;S;1 anúncio;87.7;14,95
P60303;CICLIDEOS JUVENIS 35G;11,87;22,00;S;1 anúncio (Magna Juvenis Mini 35g);85.3;10,13
P60305;CICLIDEOS ONIVOROS 100G;19,58;36,00;S;3 anúncios;83.9;16,42
P60306;CICLIDEOS ONIVOROS 385G;52,00;90,25;S;1 anúncio;73.6;38,25
P62584;CICLIDEOS ONIVOROS 800G;45,93;78,50;S;muitos anúncios;70.9;32,57
P60407;DISCO DIA A DIA 75G;22,73;32,80;S;1 anúncio;44.3;10,07
P64378;KINGUIO & KOI 800G;63,15;94,05;S;4 anúncios;48.9;30,90
P60604;KINGUIO DIA A DIA 100G;22,73;41,00;S;2 anúncios;80.4;18,27
P61094;KINGUIO DIA DIA SACHE 15G;3,79;8,80;E;sem anúncio exato;132.2;5,01
P60903;PEIXES DE FUNDO 135G;24,34;44,00;S;muitos anúncios;80.8;19,66
P63021;PEIXES DE FUNDO 1KG;60,32;92,15;S;muitos anúncios;52.8;31,83
P60902;PEIXES DE FUNDO 50G;12,63;22,31;V;anúncio '50g ou 135g';76.6;9,68
P61867;SPIRULINA 20% SACHE 15G;4,59;10,63;E;sem anúncio exato;131.6;6,04
P61004;TROPICAIS DIA A DIA 95G;25,26;49,00;S;muitos anúncios;94.0;23,74
P61093;TROPICAIS DIA DIA SACHE 15G;4,59;10,63;V;kit 3 por 31,90;131.6;6,04
P61009;TROPICAIS FLOCOS 130G;38,48;70,00;S;3 anúncios;81.9;31,52
P61012;TROPICAIS SPIRULINA 20% 100G;23,06;42,66;E;sem anúncio exato;85.0;19,60
P61107;JABUTI 300G;45,47;79,00;S;muitos anúncios;73.7;33,53
P61106;JABUTI 75G;16,42;32,00;S;2 anúncios;94.9;15,58
P62585;JABUTI 800G;60,00;82,65;S;4 anúncios (79,75 a 109,25);37.8;22,65
P63435;JABUTI MINI STICK 30G;13,89;24,00;V;título sem gramagem;72.8;10,11
P63434;JABUTI MINI STICK 75G;18,94;35,01;S;1 anúncio;84.8;16,07
P61102;TIGRE D'AGUA 350G;53,05;86,45;S;3 anúncios;63.0;33,40
P63022;TIGRE D'AGUA 800G;57,41;92,15;S;muitos anúncios;60.5;34,74
P61101;TIGRE D'AGUA 90G;18,31;36,00;S;muitos anúncios;96.6;17,69
P61103;TIGRE D'AGUA FILHOTE 30G;11,48;23,00;V;anúncio '30g e 90g';100.3;11,52
P64513;CUBIFEX 20G;30,31;48,70;E;pelo Cubifex 8g;60.7;18,39
P64512;CUBIFEX 8G;17,45;28,00;V;anúncio '8g e 20g';60.5;10,55
P64516;DAPHNIA 10G;8,84;15,00;E;sem anúncio;69.7;6,16
P64508;GAMMARUS 11G;12,63;26,93;S;2 anúncios (23,00 e 30,85);113.2;14,30
P64509;GAMMARUS 28G;31,57;67,30;E;pelo Gammarus 11g;113.2;35,73
P64510;TENEBRIO 40G;13,55;26,25;S;2 anúncios (25,00 e 27,50);93.7;12,70
